ダウンロードした時刻：2024/10/16 21:35:04

,,神戸,神戸,神戸
年,月,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1897,8,27.7,8,1
1898,8,27.9,8,1
1899,8,26.4,8,1
1900,8,27.5,8,1
1901,8,27.0,8,1
1902,8,25.4,8,1
1903,8,27.5,8,1
1904,8,27.3,8,1
1905,8,24.5,8,1
1906,8,26.6,8,1
1907,8,26.7,8,1
1908,8,26.2,8,1
1909,8,27.1,8,1
1910,8,25.9,8,1
1911,8,26.3,8,1
1912,8,26.9,8,1
1913,8,26.0,8,1
1914,8,27.9,8,1
1915,8,27.0,8,1
1916,8,27.4,8,1
1917,8,26.1,8,1
1918,8,26.4,8,1
1919,8,26.2,8,1
1920,8,26.2,8,1
1921,8,27.4,8,1
1922,8,28.5,8,1
1923,8,28.5,8,1
1924,8,27.5,8,1
1925,8,26.8,8,1
1926,8,27.9,8,1
1927,8,26.6,8,1
1928,8,25.9,8,1
1929,8,28.0,8,1
1930,8,28.3,8,1
1931,8,27.4,8,1
1932,8,26.9,8,1
1933,8,27.3,8,1
1934,8,27.7,8,1
1935,8,26.4,8,1
1936,8,26.7,8,1
1937,8,28.1,8,1
1938,8,26.5,8,1
1939,8,27.4,8,1
1940,8,25.7,8,1
1941,8,26.4,8,1
1942,8,27.7,8,1
1943,8,26.8,8,1
1944,8,27.3,8,1
1945,8,27.4,8,1
1946,8,26.9,8,1
1947,8,28.1,8,1
1948,8,27.1,8,1
1949,8,26.7,8,1
1950,8,27.1,8,1
1951,8,28.0,8,1
1952,8,27.5,8,1
1953,8,27.0,8,1
1954,8,27.5,8,1
1955,8,27.1,8,1
1956,8,26.3,8,1
1957,8,27.1,8,1
1958,8,26.8,8,1
1959,8,27.2,8,1
1960,8,27.5,8,1
1961,8,27.9,8,1
1962,8,27.6,8,1
1963,8,27.0,5,1
1964,8,28.5,8,1
1965,8,27.2,8,1
1966,8,27.7,8,1
1967,8,28.2,8,1
1968,8,26.6,8,1
1969,8,27.2,8,1
1970,8,27.4,8,1
1971,8,26.8,8,1
1972,8,26.6,8,1
1973,8,27.8,8,1
1974,8,27.5,8,1
1975,8,26.8,8,1
1976,8,26.2,8,1
1977,8,26.9,8,1
1978,8,28.0,8,1
1979,8,27.8,8,1
1980,8,25.5,8,1
1981,8,26.3,8,1
1982,8,26.1,8,1
1983,8,28.5,8,1
1984,8,28.3,8,1
1985,8,28.1,8,1
1986,8,27.5,8,1
1987,8,27.3,8,1
1988,8,27.1,8,1
1989,8,26.8,8,1
1990,8,28.5,8,1
1991,8,27.5,8,1
1992,8,27.2,8,1
1993,8,25.7,8,1
1994,8,29.1,8,1
1995,8,29.1,8,1
1996,8,27.7,8,1
1997,8,27.3,8,1
1998,8,28.4,8,1
1999,8,28.0,8,1
2000,8,29.1,8,2
2001,8,28.7,8,2
2002,8,28.5,8,2
2003,8,27.8,8,2
2004,8,28.2,8,2
2005,8,28.3,8,2
2006,8,29.4,8,2
2007,8,29.0,8,2
2008,8,28.3,8,2
2009,8,27.9,8,2
2010,8,29.8,8,2
2011,8,28.8,8,2
2012,8,29.3,8,2
2013,8,29.4,8,2
2014,8,27.4,8,2
2015,8,28.3,8,2
2016,8,29.4,8,2
2017,8,29.1,8,2
2018,8,29.1,8,2
2019,8,28.8,8,2
2020,8,30.0,8,2
2021,8,27.8,8,2
2022,8,29.2,8,2
2023,8,29.7,8,2
2024,8,30.2,8,2
