,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
0,yO+7FddMs,妹,2,-2,2,2,2,2,-1,-1,1,1,2,2,2,2,2,2,-2
1,fEkFadipa,動物,-1,2,2,0,0,2,2,2,2,-1,2,0,0,2,2,0,0
2,Zxjd7f3yE,ねこ,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0
3,AQyJT8wuY,女の子,1,2,2,2,2,2,2,2,2,2,-1,1,2,2,2,0,2
4,E2PLla6IW,ハムスター,2,-1,2,2,2,2,-1,-1,1,-1,2,2,2,2,2,2,-1
5,39u3sbrho,おっちょこちょいな人,1,-1,2,0,1,1,0,0,1,1,1,0,1,2,2,2,0
6,lschzgsz4,子犬,2,-2,2,1,1,2,-2,-2,0,-2,0,0,0,-2,2,2,-1
7,KAo9s/28s,犬,2,0,2,0,2,2,-2,-2,-2,-2,-1,2,-2,2,2,-1,-2
8,x2JIha7pa,犬,0,0,2,0,2,2,-2,0,0,-2,0,-1,2,2,2,-1,0
9,lWQyu0KAw,動物,2,-1,2,0,2,0,-2,-1,-1,-2,-1,0,-2,0,2,1,-2
10,xZTY77lWM,ダッフィー,-1,-1,2,2,2,2,0,0,0,-2,1,1,-2,1,1,1,0
11,yO+7FddMs,子供,2,-2,1,1,1,1,-2,-1,1,0,1,1,1,1,1,1,-1
12,Qwt1NaTQw,小物,1,1,2,-1,-2,-2,2,2,1,2,2,-2,2,-2,0,-2,2
13,lk0rOHbVq,動物,1,-1,2,1,2,1,-1,0,2,-1,-1,1,0,2,2,1,-1
14,ey19HRe/,ハムスター,2,0,2,2,2,2,-1,0,-1,0,2,2,-1,2,2,-1,0
15,EnIktFsBo,星柄の物,0,1,0,-1,-2,-1,1,1,-1,0,2,-2,2,2,-1,-1,1
16,+ICPkmLS6,愛犬,2,-1,1,1,1,1,-1,0,1,-1,0,-1,0,2,1,1,-1
17,pXA1erXJk,ピンク,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2,2,2
18,NRSXv1o06,ピンク,0,0,1,1,1,1,-1,-1,-1,2,-1,2,2,1,-2,1,1
19,Z2uCV4nI+,子供,2,-2,0,1,0,0,-2,-2,-2,-2,-2,0,2,2,-2,2,-2
20,fEkFadipa,ぬいぐるみ,0,0,2,1,2,2,0,0,2,1,2,1,1,2,2,1,1
21,Kd5ICgpJS,赤ちゃん,2,-2,2,2,-1,0,-2,-2,-2,-2,-2,2,-2,-1,1,1,-2
22,yoB7Zgsss,マイメロディ,0,1,2,2,2,2,-1,-1,-1,1,1,1,1,-1,2,-2,0
23,KvU4uz9zm,うさぎ,2,2,2,2,2,2,1,0,0,0,0,2,0,0,2,0,0
24,5t11p+6tE,カラフルな花柄のポーチ,-1,1,-1,-1,0,0,2,2,2,2,2,2,0,-1,-1,-1,2
25,Gt+RIPOxE,服,-2,2,2,0,2,1,2,2,1,2,2,1,2,2,2,2,2
26,E2PLla6IW,子犬,2,2,2,2,2,2,-2,-1,-1,-1,2,2,2,2,2,2,1
27,ThSFP/7c6,パステルカラー,-2,2,1,2,2,-2,2,2,2,2,2,-2,2,-2,-2,-2,2
28,ZZ7LSp8ru,犬,0,0,2,2,2,2,1,1,1,0,1,2,2,2,2,2,2
29,Zxjd7f3yE,水玉,0,0,0,0,0,0,1,0,-2,1,1,1,-2,-2,-2,-2,0
30,+Hpfbit+a,花柄,0,1,1,-2,1,1,1,2,-2,2,1,0,0,-2,-2,-2,2
31,0/GkxUC8a,赤ちゃん,2,-2,2,2,2,2,-2,-2,0,-1,2,2,1,2,2,1,-2
32,lschzgsz4,キラキラした小物,-2,2,1,-2,-2,-2,2,2,0,2,2,-1,2,-2,-2,-2,2
33,68qJcFZve,動物,0,-1,2,2,2,2,-1,-1,-1,-1,-1,0,-1,2,2,-1,-1
34,39u3sbrho,カエル,0,-1,1,0,0,0,-1,0,0,-1,0,1,1,0,1,-1,-1
35,b4FkUd+QW,ほんわかしているもの,-2,1,2,2,2,2,-1,0,2,2,0,1,-2,-2,2,-1,0
36,x2JIha7pa,友達,-1,2,2,-2,-1,2,2,2,2,2,2,-1,2,0,1,-1,2
37,7U+LCg3y8,犬,-1,0,2,2,2,2,-2,-2,0,-1,0,0,-2,2,2,-2,-2
38,6rimPm3+0,ひよこ,2,-1,2,2,2,2,-1,-1,1,0,-1,1,-1,2,2,1,-2
39,hx3923eKu,猫,2,-1,2,2,1,2,-1,1,-1,-1,1,1,-1,1,2,0,-1
40,F2seKdTJG,猫,2,1,2,2,2,2,-2,1,-2,-2,-2,1,-2,-1,2,1,-1
41,AQyJT8wuY,ピンク,-2,2,2,2,2,2,2,2,1,2,2,-2,0,1,0,-1,2
