レシート番号,商品コード,個数,日時,性別,年齢,商品名,単価
10001,d003,1,2022-11-01 07:21:00,男,25.0,コーヒーS,100
10002,m001,1,2022-11-01 08:25:00,男,18.0,卵サンド,300
10002,s001,1,2022-11-01 08:25:00,男,18.0,ポテトサラダ,210
10002,d003,1,2022-11-01 08:25:00,男,18.0,コーヒーS,100
10004,m001,1,2022-11-01 08:47:00,女,44.0,卵サンド,300
10004,s002,1,2022-11-01 08:47:00,女,44.0,野菜スープ,180
10003,m003,1,2022-11-01 11:50:00,男,37.0,鮭弁当,330
10003,m002,2,2022-11-01 11:50:00,男,37.0,おにぎり（ツナ）,120
10003,d002,1,2022-11-01 11:50:00,男,37.0,ウーロン茶500ml,150
10005,d001,1,2022-11-01 13:05:00,男,62.0,お茶500ml,150
10005,m003,1,2022-11-01 13:05:00,男,62.0,鮭弁当,330
10005,d001,1,2022-11-01 13:05:00,男,62.0,お茶500ml,150
