"評定者","対象","小さい","綺麗","癒し","柔らかい","ふわふわ","あたたかい","お洒落","美しい","優しい","女の子らしい","素敵","丸い","きらきら","無邪気","和み","幼い","華やか"
"yO+7FddMs","妹","2","-2","2","2","2","2","-1","-1","1","1","2","2","2","2","2","2","-2"
"fEkFadipa","動物","-1","2","2","0","0","2","2","2","2","-1","2","0","0","2","2","0","0"
"Zxjd7f3yE","ねこ","0","0","2","2","2","2","0","0","0","0","0","0","0","0","2","0","0"
"AQyJT8wuY","女の子","1","2","2","2","2","2","2","2","2","2","-1","1","2","2","2","0","2"
"E2PLla6IW","ハムスター","2","-1","2","2","2","2","-1","-1","1","-1","2","2","2","2","2","2","-1"
"39u3sbrho","おっちょこちょいな人","1","-1","2","0","1","1","0","0","1","1","1","0","1","2","2","2","0"
"lschzgsz4","子犬","2","-2","2","1","1","2","-2","-2","0","-2","0","0","0","-2","2","2","-1"
"KAo9s/28s","犬","2","0","2","0","2","2","-2","-2","-2","-2","-1","2","-2","2","2","-1","-2"
"x2JIha7pa","犬","0","0","2","0","2","2","-2","0","0","-2","0","-1","2","2","2","-1","0"
"lWQyu0KAw","動物","2","-1","2","0","2","0","-2","-1","-1","-2","-1","0","-2","0","2","1","-2"
"xZTY77lWM","ダッフィー","-1","-1","2","2","2","2","0","0","0","-2","1","1","-2","1","1","1","0"
"yO+7FddMs","子供","2","-2","1","1","1","1","-2","-1","1","0","1","1","1","1","1","1","-1"
"Qwt1NaTQw","小物","1","1","2","-1","-2","-2","2","2","1","2","2","-2","2","-2","0","-2","2"
"lk0rOHbVq","動物","1","-1","2","1","2","1","-1","0","2","-1","-1","1","0","2","2","1","-1"
"ey19HRe/","ハムスター","2","0","2","2","2","2","-1","0","-1","0","2","2","-1","2","2","-1","0"
"EnIktFsBo","星柄の物","0","1","0","-1","-2","-1","1","1","-1","0","2","-2","2","2","-1","-1","1"
"エラー 2029","愛犬","2","-1","1","1","1","1","-1","0","1","-1","0","-1","0","2","1","1","-1"
"pXA1erXJk","ピンク","-2","2","2","2","2","2","2","2","2","2","2","-2","-2","-2","2","2","2"
"NRSXv1o06","ピンク","0","0","1","1","1","1","-1","-1","-1","2","-1","2","2","1","-2","1","1"
"Z2uCV4nI+","子供","2","-2","0","1","0","0","-2","-2","-2","-2","-2","0","2","2","-2","2","-2"
"fEkFadipa","ぬいぐるみ","0","0","2","1","2","2","0","0","2","1","2","1","1","2","2","1","1"
"Kd5ICgpJS","赤ちゃん","2","-2","2","2","-1","0","-2","-2","-2","-2","-2","2","-2","-1","1","1","-2"
"yoB7Zgsss","マイメロディ","0","1","2","2","2","2","-1","-1","-1","1","1","1","1","-1","2","-2","0"
"KvU4uz9zm","うさぎ","2","2","2","2","2","2","1","0","0","0","0","2","0","0","2","0","0"
"5t11p+6tE","カラフルな花柄のポーチ","-1","1","-1","-1","0","0","2","2","2","2","2","2","0","-1","-1","-1","2"
"Gt+RIPOxE","服","-2","2","2","0","2","1","2","2","1","2","2","1","2","2","2","2","2"
"E2PLla6IW","子犬","2","2","2","2","2","2","-2","-1","-1","-1","2","2","2","2","2","2","1"
"ThSFP/7c6","パステルカラー","-2","2","1","2","2","-2","2","2","2","2","2","-2","2","-2","-2","-2","2"
"ZZ7LSp8ru","犬","0","0","2","2","2","2","1","1","1","0","1","2","2","2","2","2","2"
"Zxjd7f3yE","水玉","0","0","0","0","0","0","1","0","-2","1","1","1","-2","-2","-2","-2","0"
"エラー 2029","花柄","0","1","1","-2","1","1","1","2","-2","2","1","0","0","-2","-2","-2","2"
"0/GkxUC8a","赤ちゃん","2","-2","2","2","2","2","-2","-2","0","-1","2","2","1","2","2","1","-2"
"lschzgsz4","キラキラした小物","-2","2","1","-2","-2","-2","2","2","0","2","2","-1","2","-2","-2","-2","2"
"68qJcFZve","動物","0","-1","2","2","2","2","-1","-1","-1","-1","-1","0","-1","2","2","-1","-1"
"39u3sbrho","カエル","0","-1","1","0","0","0","-1","0","0","-1","0","1","1","0","1","-1","-1"
"b4FkUd+QW","ほんわかしているもの","-2","1","2","2","2","2","-1","0","2","2","0","1","-2","-2","2","-1","0"
"x2JIha7pa","友達","-1","2","2","-2","-1","2","2","2","2","2","2","-1","2","0","1","-1","2"
"7U+LCg3y8","犬","-1","0","2","2","2","2","-2","-2","0","-1","0","0","-2","2","2","-2","-2"
"6rimPm3+0","ひよこ","2","-1","2","2","2","2","-1","-1","1","0","-1","1","-1","2","2","1","-2"
"hx3923eKu","猫","2","-1","2","2","1","2","-1","1","-1","-1","1","1","-1","1","2","0","-1"
"F2seKdTJG","猫","2","1","2","2","2","2","-2","1","-2","-2","-2","1","-2","-1","2","1","-1"
"AQyJT8wuY","ピンク","-2","2","2","2","2","2","2","2","1","2","2","-2","0","1","0","-1","2"
"xZTY77lWM","シェリーメイ","1","0","2","2","2","2","1","1","2","2","2","2","-2","2","2","2","0"
"yO+7FddMs","服","-2","-2","1","0","1","-1","2","1","0","2","2","0","1","-2","1","-2","-1"
"lWQyu0KAw","ファッション","-2","2","0","-2","0","-2","2","0","0","2","1","-2","0","-1","-1","0","1"
"tMFkHybly","スヌーピー","-1","-2","1","1","0","0","0","-2","-2","-2","0","0","-2","0","1","-1","-1"
"fEkFadipa","お花","0","2","2","1","1","2","1","2","2","1","2","1","2","2","2","0","2"
"pXA1erXJk","芸能人","-2","2","2","2","2","-2","2","2","-2","2","2","-2","1","-1","0","-2","2"
"D8HshWhuC","ねこ","1","0","2","2","2","1","0","2","-2","-1","1","2","-1","-1","0","-1","-1"
"NRSXv1o06","犬","1","1","1","1","1","1","1","-1","0","0","1","1","1","1","1","0","0"
"lk0rOHbVq","赤ちゃん","2","0","1","1","1","1","-1","-1","-1","1","-1","2","-1","2","1","2","0"
"k3p2ZrXM0","アクセサリー","1","2","0","-1","0","0","2","2","0","2","1","-1","2","0","0","-2","2"
"Qwt1NaTQw","服","-2","2","2","1","1","2","2","2","0","1","2","-2","2","-2","2","-2","2"
"O0Zybf346","子供","2","-1","2","2","1","2","-1","-1","0","0","0","1","0","2","1","2","-1"
"エラー 2029","赤ちゃん","2","0","2","2","2","2","-1","0","0","-1","0","1","2","2","2","2","-1"
"ey19HRe/","きらきらしたもの","-1","2","2","-1","-1","0","2","2","0","2","2","-1","2","0","0","-1","2"
"KvU4uz9zm","犬","2","0","2","2","2","2","1","0","1","1","1","2","0","2","2","1","1"
"E2PLla6IW","子猫","2","2","2","2","2","2","-1","2","2","-1","2","2","2","2","2","2","1"
"5t11p+6tE","パステルカラーの洋服","-1","1","2","2","2","1","0","0","1","2","2","1","0","0","1","0","0"
"Zxjd7f3yE","女の子","1","1","1","1","-2","1","1","1","1","1","1","1","1","-1","1","1","1"
"Fw8SEx7Kc","グルーミーと言うキャラクター","-1","-2","1","2","-1","-1","2","-2","-2","-1","0","-1","-1","-1","-2","-1","-1"
"Kd5ICgpJS","子犬","2","-2","2","2","2","2","-2","-2","-2","-2","0","1","-1","2","2","2","-2"
"EnIktFsBo","ぬいぐるみ","0","-1","1","1","2","1","-1","-2","0","1","0","1","-1","1","2","2","-1"
"エラー 2029","綾瀬はるか","-1","2","2","1","2","2","1","2","0","2","2","-2","2","0","2","-2","1"
"lschzgsz4","赤ちゃん","2","-2","2","2","2","2","-2","0","1","0","-1","2","2","-2","2","2","-1"
"Gt+RIPOxE","髪型","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"x2JIha7pa","きゃりーぱみゅぱみゅ","2","2","2","-1","2","2","2","2","2","2","2","0","2","2","0","-1","2"
"ThSFP/7c6","雑貨","2","2","2","-2","2","2","2","2","2","2","2","-1","-2","-2","2","-2","1"
"fEkFadipa","小物","2","1","2","0","0","2","2","2","2","-1","2","0","1","0","2","-1","1"
"c5CsQRoM+","ファッション","0","2","0","1","0","1","2","2","-1","0","2","-1","2","-1","0","-1","2"
"yO+7FddMs","動物","1","-2","1","1","1","1","-1","0","0","0","1","1","1","1","1","0","-2"
"syPIKye4y","アイドル","0","2","2","0","-1","-2","1","1","0","2","1","-2","-2","1","0","0","1"
"68qJcFZve","リボン","0","0","-1","0","1","-2","2","-1","-2","-2","1","-2","1","-2","-2","-2","1"
"xZTY77lWM","プーさん","0","0","2","2","2","2","2","-2","1","-2","1","2","-2","0","0","-1","-1"
"hx3923eKu","小さい子","2","-2","2","2","1","2","-1","-2","1","0","0","1","2","2","2","2","-1"
"/PHWjtxQs","笑顔","1","0","2","1","1","1","2","1","2","2","2","0","-1","2","2","1","-1"
"pXA1erXJk","キラキラ","2","2","2","0","0","-2","2","2","-1","2","2","2","2","-2","1","-2","2"
"AQyJT8wuY","ふわふわ","0","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2"
"6rimPm3+0","Miranda Kerr","-2","2","1","-1","-2","1","2","2","1","2","2","-2","0","-2","-1","-1","1"
"tMFkHybly","妹","2","-1","2","2","2","1","-2","-1","2","2","1","0","0","2","2","2","-1"
"7U+LCg3y8","洋服","-2","2","-2","-2","-2","-2","2","2","-2","2","2","-2","2","-2","-1","-2","1"
"Gt+RIPOxE","ぬいぐるみ","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"D8HshWhuC","ハムスター","2","-1","2","2","2","2","-1","-1","-1","-1","0","2","-1","0","2","-1","-1"
"lWQyu0KAw","顔","2","2","-2","2","2","-2","-1","2","1","2","1","2","0","1","0","2","0"
"x2JIha7pa","増田貴久","-2","-2","2","1","2","2","2","2","2","0","2","1","2","2","2","0","2"
"k3p2ZrXM0","服","-1","2","1","2","2","0","2","2","-2","2","2","-2","0","-2","0","-2","2"
"KvU4uz9zm","猫","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","0","2"
"lschzgsz4","ワンピース","-2","2","-1","-2","-2","-1","2","2","-1","2","2","-2","2","-2","-2","-2","2"
"E2PLla6IW","サル","2","-1","2","1","1","2","-2","-1","1","-1","2","-1","2","2","2","2","-1"
"エラー 2029","ワンピース","-1","0","1","1","0","0","1","1","1","2","1","-2","2","1","0","1","0"
"EnIktFsBo","犬(ヨークシャテリア)","2","-1","2","2","2","1","-1","-1","1","1","0","1","-1","1","2","0","-1"
"エラー 2029","小さい子","2","-1","2","2","2","2","-2","-2","-2","-2","1","1","1","1","1","2","-2"
"XK3Z5LJNy","犬","0","-1","2","2","1","2","0","0","2","-1","2","-1","2","2","2","0","-1"
"lk0rOHbVq","服","-2","0","-1","-1","0","0","1","0","-2","0","1","-2","0","-2","-1","-2","-1"
"ThSFP/7c6","花柄","2","2","2","2","2","2","2","2","2","2","2","2","2","-2","2","-2","2"
"O0Zybf346","動物","1","-1","2","1","2","2","-2","0","-1","-2","-1","1","-1","2","0","-1","-2"
"F2seKdTJG","ピンク色","-2","1","2","2","2","-1","-1","-1","2","2","1","-2","-1","-2","-2","-2","2"
"Kd5ICgpJS","女の子","-1","1","1","1","0","1","2","2","1","2","2","-1","2","0","1","0","2"
"fEkFadipa","子供","2","2","2","2","2","2","0","2","2","0","2","2","2","2","2","2","2"
"Qwt1NaTQw","アクセサリー","1","2","2","-2","-2","0","2","2","1","2","2","-1","2","-2","0","-2","2"
"syPIKye4y","ピンク","-2","0","-2","0","0","-1","-1","-1","-1","2","-1","-1","-2","-2","-2","1","1"
"c5CsQRoM+","フランスの女の子","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2"
"x2JIha7pa","ミニーマウス","1","1","2","0","1","1","2","2","1","2","2","0","2","1","1","0","1"
"obSIK8Bry","ショートカット","2","0","2","2","2","1","1","1","1","2","1","1","2","1","0","1","1"
"/PHWjtxQs","デコレーション","2","2","2","2","2","2","2","2","2","0","2","0","0","2","2","2","2"
"hx3923eKu","おばあちゃん","2","1","1","1","1","2","-1","0","2","0","1","-1","-1","-1","2","-2","0"
"68qJcFZve","ピンク","-2","-2","-2","-2","-2","-2","1","1","-2","2","0","-2","2","-2","-2","-2","2"
"Fw8SEx7Kc","花柄の服","-1","2","2","2","2","2","2","2","2","2","2","0","-1","-2","-1","-1","2"
"Z2uCV4nI+","動物","0","-2","1","-2","-2","1","-2","-2","-2","-2","-2","-2","-2","2","1","-2","-2"
"tMFkHybly","忍たま乱太郎","1","0","2","-1","0","2","-1","1","2","-2","2","-1","1","2","2","2","2"
"nEo1hVR42","我が家の猫","1","1","2","2","2","2","-2","1","-2","0","0","1","-1","2","2","1","-1"
"ThSFP/7c6","犬","2","-2","2","2","2","2","2","2","2","2","2","2","2","-2","-2","2","2"
"Gt+RIPOxE","ネイル","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"AQyJT8wuY","甘いもの","-2","0","2","2","2","2","1","1","1","2","-1","0","-2","-2","2","2","0"
"KvU4uz9zm","インコ","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2"
"6rimPm3+0","マニキュア","1","1","-1","-2","-2","-2","2","2","-1","1","1","-2","-2","-2","-2","-2","1"
"k3p2ZrXM0","キャラクター","-1","-1","1","-2","-1","-1","0","0","0","-1","0","-2","0","0","1","-2","-1"
"7U+LCg3y8","バッグ","-2","2","0","-2","-2","-2","2","2","-2","2","2","-2","0","-2","-2","-2","-1"
