表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
山月,名詞,固有名詞,地域,一般,*,*,山月,ヤマツキ,ヤマツキ
記,名詞,接尾,一般,*,*,*,記,キ,キ
 ,記号,空白,*,*,*,*, , , 
中島,名詞,固有名詞,人名,姓,*,*,中島,ナカジマ,ナカジマ
敦,名詞,固有名詞,人名,名,*,*,敦,アツシ,アツシ
     ,記号,空白,*,*,*,*,     ,     ,     
隴西,名詞,一般,*,*,*,*,隴西,隴西,隴西
の,助詞,連体化,*,*,*,*,の,ノ,ノ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
博学,名詞,形容動詞語幹,*,*,*,*,博学,ハクガク,ハクガク
才,名詞,一般,*,*,*,*,才,サイ,サイ
穎,名詞,一般,*,*,*,*,穎,穎,穎
、,記号,読点,*,*,*,*,、,、,、
天宝,名詞,固有名詞,地域,一般,*,*,天宝,テンポウ,テンポー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
末,名詞,非自立,副詞可能,*,*,*,末,スエ,スエ
年,名詞,一般,*,*,*,*,年,トシ,トシ
、,記号,読点,*,*,*,*,、,、,、
若くして,副詞,一般,*,*,*,*,若くして,ワカクシテ,ワカクシテ
名,名詞,一般,*,*,*,*,名,ナ,ナ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
榜,名詞,一般,*,*,*,*,榜,榜,榜
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
連ね,動詞,自立,*,*,一段,連用形,連ねる,ツラネ,ツラネ
、,記号,読点,*,*,*,*,、,、,、
ついで,接続詞,*,*,*,*,*,ついで,ツイデ,ツイデ
江南,名詞,固有名詞,人名,姓,*,*,江南,コウナン,コーナン
尉,名詞,一般,*,*,*,*,尉,ジョウ,ジョー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
補せ,動詞,自立,*,*,サ変・−スル,未然レル接続,補する,ホセ,ホセ
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
性,名詞,一般,*,*,*,*,性,セイ,セイ
、,記号,読点,*,*,*,*,、,、,、
狷介,名詞,一般,*,*,*,*,狷介,ケンカイ,ケンカイ
、,記号,読点,*,*,*,*,、,、,、
自ら,名詞,副詞可能,*,*,*,*,自ら,ミズカラ,ミズカラ
恃,名詞,一般,*,*,*,*,恃,恃,恃
むところ,名詞,一般,*,*,*,*,むところ,むところ,むところ
頗る,副詞,一般,*,*,*,*,頗る,スコブル,スコブル
厚く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,厚い,アツク,アツク
、,記号,読点,*,*,*,*,、,、,、
賤吏,名詞,一般,*,*,*,*,賤吏,賤吏,賤吏
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
甘んずる,動詞,自立,*,*,サ変・−ズル,基本形,甘んずる,アマンズル,アマンズル
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
潔し,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,潔い,イサギヨシ,イサギヨシ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
