ダウンロードした時刻：2022/10/11 12:15:39

,,神戸,神戸,神戸
年,月,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1897,2,3.9,8,1
1898,2,5.6,8,1
1899,2,5.9,8,1
1900,2,4.1,8,1
1901,2,3.2,8,1
1902,2,4.3,8,1
1903,2,5.0,8,1
1904,2,5.7,8,1
1905,2,3.7,8,1
1906,2,4.1,8,1
1907,2,2.9,8,1
1908,2,4.4,8,1
1909,2,3.5,8,1
1910,2,3.4,8,1
1911,2,5.2,8,1
1912,2,7.4,8,1
1913,2,4.6,8,1
1914,2,5.0,8,1
1915,2,5.0,8,1
1916,2,5.6,8,1
1917,2,4.1,8,1
1918,2,4.3,8,1
1919,2,4.7,8,1
1920,2,3.8,8,1
1921,2,4.8,8,1
1922,2,7.4,8,1
1923,2,4.6,8,1
1924,2,4.8,8,1
1925,2,3.2,8,1
1926,2,4.8,8,1
1927,2,3.1,8,1
1928,2,3.9,8,1
1929,2,3.3,8,1
1930,2,5.9,8,1
1931,2,4.4,8,1
1932,2,4.0,8,1
1933,2,3.7,8,1
1934,2,3.7,8,1
1935,2,5.6,8,1
1936,2,2.6,8,1
1937,2,6.7,8,1
1938,2,3.2,8,1
1939,2,4.2,8,1
1940,2,3.4,8,1
1941,2,5.0,8,1
1942,2,3.7,8,1
1943,2,3.6,8,1
1944,2,3.7,8,1
1945,2,2.0,8,1
1946,2,4.3,8,1
1947,2,2.5,8,1
1948,2,5.1,8,1
1949,2,6.5,8,1
1950,2,5.2,8,1
1951,2,5.6,8,1
1952,2,4.2,8,1
1953,2,4.6,8,1
1954,2,6.5,8,1
1955,2,6.5,8,1
1956,2,4.1,8,1
1957,2,4.2,8,1
1958,2,6.1,8,1
1959,2,8.3,8,1
1960,2,7.0,8,1
1961,2,4.0,8,1
1962,2,5.8,8,1
1963,2,3.0,8,1
1964,2,3.7,8,1
1965,2,4.9,5,1
1966,2,6.7,8,1
1967,2,4.9,8,1
1968,2,2.8,8,1
1969,2,5.4,8,1
1970,2,5.5,8,1
1971,2,5.2,8,1
1972,2,5.7,8,1
1973,2,6.7,8,1
1974,2,4.5,8,1
1975,2,4.1,8,1
1976,2,7.2,8,1
1977,2,3.5,8,1
1978,2,4.0,8,1
1979,2,7.7,8,1
1980,2,3.8,8,1
1981,2,4.1,8,1
1982,2,4.8,8,1
1983,2,4.8,8,1
1984,2,2.5,8,1
1985,2,5.8,8,1
1986,2,3.0,8,1
1987,2,5.9,8,1
1988,2,4.3,8,1
1989,2,7.0,8,1
1990,2,8.1,8,1
1991,2,5.0,8,1
1992,2,5.7,8,1
1993,2,6.8,8,1
1994,2,5.4,8,1
1995,2,5.2,8,1
1996,2,4.4,8,1
1997,2,5.3,8,1
1998,2,7.6,8,1
1999,2,5.5,8,1
2000,2,4.7,8,2
2001,2,6.4,8,2
2002,2,7.0,8,2
2003,2,6.7,8,2
2004,2,7.6,8,2
2005,2,6.0,8,2
2006,2,6.6,8,2
2007,2,8.7,8,2
2008,2,4.9,8,2
2009,2,8.1,8,2
2010,2,8.1,8,2
2011,2,7.5,8,2
2012,2,5.2,8,2
2013,2,5.9,8,2
2014,2,6.1,8,2
2015,2,6.8,8,2
2016,2,7.6,8,2
2017,2,6.4,8,2
2018,2,5.3,8,2
2019,2,8.0,8,2
2020,2,8.2,8,2
2021,2,8.8,8,2
2022,2,5.6,8,2
