Passengers,Dist2Sta,Rooms,Area,Age,TransYear,TransQ,CPI,Value
27120.9,2.0,3.0,55,24.0,2022,4,102.3,4200.0
27120.9,3.0,5.0,85,23.0,2021,3,99.8,5800.0
27120.9,3.0,5.0,90,22.0,2020,4,100.0,6000.0
27120.9,3.0,4.0,70,22.0,2020,4,100.0,5400.0
27120.9,2.0,4.0,90,7.0,2020,3,100.0,8800.0
27120.9,3.0,5.0,85,21.0,2019,4,100.0,6700.0
39373.63636363636,14.0,,70,38.0,2023,2,105.6,3300.0
39373.63636363636,11.0,4.0,65,7.0,2023,1,105.6,4700.0
39373.63636363636,13.0,4.0,75,35.0,2022,1,102.3,2600.0
39373.63636363636,10.0,5.0,75,5.0,2021,3,99.8,4500.0
39373.63636363636,10.0,3.0,55,3.0,2019,3,100.0,3400.0
95281.1,13.0,4.0,80,35.0,2022,2,102.3,2900.0
95281.1,13.0,4.0,75,35.0,2022,1,102.3,2700.0
95281.1,14.0,4.0,65,36.0,2021,3,99.8,3000.0
95281.1,14.0,3.0,55,4.0,2020,4,100.0,3200.0
95281.1,14.0,3.0,65,3.0,2019,3,100.0,3900.0
52071.7,8.0,4.0,75,32.0,2023,3,105.6,3100.0
52071.7,6.0,,75,22.0,2023,2,105.6,3500.0
52071.7,5.0,4.0,80,34.0,2022,3,102.3,2700.0
52071.7,7.0,4.0,75,51.0,2022,3,102.3,2300.0
52071.7,6.0,,70,33.0,2021,4,99.8,2500.0
52071.7,6.0,4.0,70,32.0,2020,4,100.0,2600.0
52071.7,6.0,4.0,80,32.0,2020,3,100.0,3200.0
52071.7,6.0,,80,31.0,2019,4,100.0,2200.0
52071.7,6.0,,70,31.0,2019,3,100.0,2000.0
52071.7,7.0,2.0,35,48.0,2019,1,100.0,1200.0
23739.8,4.0,3.0,60,23.0,2020,3,100.0,3200.0
23739.8,4.0,3.0,60,23.0,2020,1,100.0,2000.0
95281.1,7.0,4.0,65,8.0,2020,3,100.0,4700.0
95281.1,8.0,4.0,80,8.0,2020,3,100.0,5500.0
95281.1,6.0,3.0,65,8.0,2020,1,100.0,4800.0
95281.1,6.0,4.0,70,8.0,2020,1,100.0,4400.0
95281.1,6.0,4.0,65,7.0,2019,4,100.0,4300.0
95281.1,8.0,4.0,70,7.0,2019,1,100.0,4000.0
20094.2,13.0,,65,20.0,2021,4,99.8,2600.0
20094.2,13.0,4.0,65,20.0,2021,3,99.8,2500.0
20094.2,13.0,4.0,70,18.0,2019,3,100.0,3200.0
10347.9,6.0,2.0,20,34.0,2023,2,105.6,250.0
10347.9,6.0,2.0,15,34.0,2022,2,102.3,570.0
10347.9,8.0,4.0,60,22.0,2021,2,99.8,2600.0
10347.9,6.0,,15,32.0,2021,2,99.8,540.0
10347.9,6.0,2.0,15,32.0,2021,1,99.8,560.0
10347.9,6.0,2.0,15,31.0,2020,2,100.0,530.0
10347.9,6.0,,15,,2019,2,100.0,450.0
