,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
2942,夙川,2.0,3.0,２ＬＤＫ,55.0,2022.0,24.0,ＲＣ,２中住専,未改装,4200.0
2943,夙川,3.0,5.0,４ＬＤＫ,85.0,2021.0,23.0,ＲＣ,２中住専,未改装,5800.0
2944,夙川,3.0,5.0,４ＬＤＫ,90.0,2020.0,22.0,ＲＣ,２中住専,未改装,6000.0
2945,夙川,3.0,4.0,３ＬＤＫ,70.0,2020.0,22.0,ＲＣ,２中住専,改装済み,5400.0
2948,西宮(ＪＲ),11.0,4.0,３ＬＤＫ,65.0,2023.0,7.0,ＲＣ,１種住居,未改装,4700.0
2949,西宮(ＪＲ),13.0,4.0,３ＬＤＫ,75.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2600.0
2950,西宮(ＪＲ),10.0,5.0,４ＬＤＫ,75.0,2021.0,5.0,ＲＣ,１種住居,未改装,4500.0
2951,西宮北口,13.0,4.0,３ＬＤＫ,80.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2900.0
2952,西宮北口,13.0,4.0,３ＬＤＫ,75.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2700.0
2953,西宮北口,14.0,4.0,３ＬＤＫ,65.0,2021.0,36.0,ＲＣ,１種住居,改装済み,3000.0
2954,西宮北口,14.0,3.0,２ＬＤＫ,55.0,2020.0,4.0,ＲＣ,１種住居,未改装,3200.0
2956,甲子園,8.0,4.0,３ＬＤＫ,75.0,2023.0,32.0,ＲＣ,１中住専,改装済み,3100.0
2958,甲子園,5.0,4.0,３ＬＤＫ,80.0,2022.0,34.0,ＲＣ,１中住専,未改装,2700.0
2959,甲子園,7.0,4.0,３ＬＤＫ,75.0,2022.0,51.0,ＲＣ,１中住専,改装済み,2300.0
2961,甲子園,6.0,4.0,３ＬＤＫ,70.0,2020.0,32.0,ＲＣ,１中住専,改装済み,2600.0
2962,甲子園,6.0,4.0,３ＬＤＫ,80.0,2020.0,32.0,ＲＣ,１中住専,改装済み,3200.0
2963,鳴尾・武庫川女子大前,4.0,3.0,２ＤＫ,60.0,2020.0,23.0,ＲＣ,１種住居,改装済み,3200.0
2964,鳴尾・武庫川女子大前,4.0,3.0,２ＬＤＫ,60.0,2020.0,23.0,ＲＣ,１種住居,改装済み,2000.0
2965,西宮北口,6.0,5.0,４ＬＤＫ,80.0,2024.0,12.0,ＲＣ,近隣商業,改装済み,7800.0
2967,西宮北口,7.0,2.0,１ＬＤＫ,65.0,2024.0,12.0,ＲＣ,近隣商業,未改装,5300.0
2969,西宮北口,7.0,4.0,３ＬＤＫ,65.0,2020.0,8.0,ＲＣ,近隣商業,未改装,4700.0
2970,西宮北口,8.0,4.0,３ＬＤＫ,80.0,2020.0,8.0,ＲＣ,２種住居,未改装,5500.0
2971,西宮北口,6.0,3.0,２ＬＤＫ,65.0,2020.0,8.0,ＲＣ,近隣商業,未改装,4800.0
2974,門戸厄神,13.0,4.0,３ＬＤＫ,65.0,2021.0,20.0,ＲＣ,１中住専,未改装,2500.0
2975,香櫨園,6.0,2.0,１Ｋ,20.0,2023.0,34.0,ＲＣ,１種住居,未改装,250.0
2976,香櫨園,6.0,2.0,１Ｋ,15.0,2022.0,34.0,ＲＣ,１種住居,未改装,570.0
2980,香櫨園,6.0,2.0,１Ｋ,15.0,2020.0,31.0,ＲＣ,１種住居,改装済み,530.0
2981,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,60.0,2025.0,49.0,ＳＲＣ,近隣商業,改装済み,2600.0
2982,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,60.0,2024.0,48.0,ＳＲＣ,近隣商業,未改装,1600.0
2984,西宮(ＪＲ),3.0,4.0,３ＬＤＫ,100.0,2023.0,30.0,ＳＲＣ,近隣商業,未改装,4700.0
2985,西宮(ＪＲ),4.0,3.0,２ＤＫ,55.0,2023.0,47.0,ＳＲＣ,近隣商業,未改装,2100.0
2986,西宮(ＪＲ),4.0,2.0,１Ｋ,20.0,2023.0,39.0,ＲＣ,近隣商業,未改装,430.0
2987,西宮(ＪＲ),2.0,4.0,３ＬＤＫ,75.0,2022.0,29.0,ＳＲＣ,近隣商業,改装済み,4400.0
