,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
0,夙川,2.0,3.0,２ＬＤＫ,55.0,2022.0,24.0,ＲＣ,２中住専,未改装,4200.0
1,夙川,3.0,5.0,４ＬＤＫ,85.0,2021.0,23.0,ＲＣ,２中住専,未改装,5800.0
2,夙川,3.0,5.0,４ＬＤＫ,90.0,2020.0,22.0,ＲＣ,２中住専,未改装,6000.0
3,夙川,3.0,4.0,３ＬＤＫ,70.0,2020.0,22.0,ＲＣ,２中住専,改装済み,5400.0
6,西宮(ＪＲ),11.0,4.0,３ＬＤＫ,65.0,2023.0,7.0,ＲＣ,１種住居,未改装,4700.0
7,西宮(ＪＲ),13.0,4.0,３ＬＤＫ,75.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2600.0
8,西宮(ＪＲ),10.0,5.0,４ＬＤＫ,75.0,2021.0,5.0,ＲＣ,１種住居,未改装,4500.0
9,西宮北口,13.0,4.0,３ＬＤＫ,80.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2900.0
10,西宮北口,13.0,4.0,３ＬＤＫ,75.0,2022.0,35.0,ＲＣ,１種住居,改装済み,2700.0
11,西宮北口,14.0,4.0,３ＬＤＫ,65.0,2021.0,36.0,ＲＣ,１種住居,改装済み,3000.0
12,西宮北口,14.0,3.0,２ＬＤＫ,55.0,2020.0,4.0,ＲＣ,１種住居,未改装,3200.0
14,甲子園,8.0,4.0,３ＬＤＫ,75.0,2023.0,32.0,ＲＣ,１中住専,改装済み,3100.0
16,甲子園,5.0,4.0,３ＬＤＫ,80.0,2022.0,34.0,ＲＣ,１中住専,未改装,2700.0
17,甲子園,7.0,4.0,３ＬＤＫ,75.0,2022.0,51.0,ＲＣ,１中住専,改装済み,2300.0
19,甲子園,6.0,4.0,３ＬＤＫ,70.0,2020.0,32.0,ＲＣ,１中住専,改装済み,2600.0
20,甲子園,6.0,4.0,３ＬＤＫ,80.0,2020.0,32.0,ＲＣ,１中住専,改装済み,3200.0
21,鳴尾・武庫川女子大前,4.0,3.0,２ＤＫ,60.0,2020.0,23.0,ＲＣ,１種住居,改装済み,3200.0
22,鳴尾・武庫川女子大前,4.0,3.0,２ＬＤＫ,60.0,2020.0,23.0,ＲＣ,１種住居,改装済み,2000.0
23,西宮北口,6.0,5.0,４ＬＤＫ,80.0,2024.0,12.0,ＲＣ,近隣商業,改装済み,7800.0
25,西宮北口,7.0,2.0,１ＬＤＫ,65.0,2024.0,12.0,ＲＣ,近隣商業,未改装,5300.0
27,西宮北口,7.0,4.0,３ＬＤＫ,65.0,2020.0,8.0,ＲＣ,近隣商業,未改装,4700.0
28,西宮北口,8.0,4.0,３ＬＤＫ,80.0,2020.0,8.0,ＲＣ,２種住居,未改装,5500.0
29,西宮北口,6.0,3.0,２ＬＤＫ,65.0,2020.0,8.0,ＲＣ,近隣商業,未改装,4800.0
32,門戸厄神,13.0,4.0,３ＬＤＫ,65.0,2021.0,20.0,ＲＣ,１中住専,未改装,2500.0
33,香櫨園,6.0,2.0,１Ｋ,20.0,2023.0,34.0,ＲＣ,１種住居,未改装,250.0
34,香櫨園,6.0,2.0,１Ｋ,15.0,2022.0,34.0,ＲＣ,１種住居,未改装,570.0
38,香櫨園,6.0,2.0,１Ｋ,15.0,2020.0,31.0,ＲＣ,１種住居,改装済み,530.0
39,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,60.0,2025.0,49.0,ＳＲＣ,近隣商業,改装済み,2600.0
40,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,60.0,2024.0,48.0,ＳＲＣ,近隣商業,未改装,1600.0
42,西宮(ＪＲ),3.0,4.0,３ＬＤＫ,100.0,2023.0,30.0,ＳＲＣ,近隣商業,未改装,4700.0
43,西宮(ＪＲ),4.0,3.0,２ＤＫ,55.0,2023.0,47.0,ＳＲＣ,近隣商業,未改装,2100.0
44,西宮(ＪＲ),4.0,2.0,１Ｋ,20.0,2023.0,39.0,ＲＣ,近隣商業,未改装,430.0
45,西宮(ＪＲ),2.0,4.0,３ＬＤＫ,75.0,2022.0,29.0,ＳＲＣ,近隣商業,改装済み,4400.0
46,西宮(ＪＲ),1.0,2.0,１ＬＤＫ,50.0,2022.0,27.0,ＳＲＣ,近隣商業,未改装,2600.0
47,西宮(ＪＲ),3.0,3.0,２ＤＫ,35.0,2022.0,38.0,ＲＣ,近隣商業,改装済み,1300.0
48,西宮(ＪＲ),3.0,4.0,２ＬＤＫ＋Ｓ,85.0,2022.0,29.0,ＳＲＣ,近隣商業,改装済み,4400.0
49,西宮(ＪＲ),3.0,4.0,３ＬＤＫ,90.0,2022.0,29.0,ＳＲＣ,近隣商業,未改装,4300.0
50,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,90.0,2021.0,28.0,ＳＲＣ,近隣商業,未改装,3800.0
51,西宮(ＪＲ),3.0,3.0,２ＬＤＫ,60.0,2021.0,28.0,ＳＲＣ,近隣商業,改装済み,3400.0
52,西宮(ＪＲ),4.0,2.0,１ＬＤＫ,50.0,2021.0,45.0,ＳＲＣ,近隣商業,改装済み,2200.0
53,西宮(ＪＲ),1.0,3.0,２ＬＤＫ,75.0,2021.0,28.0,ＳＲＣ,近隣商業,未改装,3600.0
56,西宮(ＪＲ),2.0,4.0,３ＬＤＫ,90.0,2020.0,27.0,ＳＲＣ,近隣商業,改装済み,4900.0
57,武庫川,4.0,3.0,２ＬＤＫ,65.0,2023.0,39.0,ＲＣ,１種住居,改装済み,2600.0
61,香櫨園,15.0,4.0,３ＬＤＫ,60.0,2024.0,46.0,ＳＲＣ,準工業,未改装,1400.0
63,香櫨園,15.0,4.0,３ＬＤＫ,60.0,2024.0,46.0,ＳＲＣ,準工業,改装済み,1600.0
64,香櫨園,15.0,4.0,３ＬＤＫ,65.0,2024.0,22.0,ＲＣ,準工業,改装済み,3800.0
67,香櫨園,15.0,4.0,３ＬＤＫ,60.0,2023.0,45.0,ＳＲＣ,準工業,未改装,1600.0
70,香櫨園,15.0,4.0,３ＤＫ,60.0,2021.0,43.0,ＳＲＣ,準工業,未改装,1000.0
71,香櫨園,15.0,4.0,３ＬＤＫ,60.0,2021.0,43.0,ＳＲＣ,準工業,改装済み,1600.0
73,香櫨園,15.0,4.0,３ＤＫ,60.0,2021.0,43.0,ＳＲＣ,準工業,未改装,1000.0
74,香櫨園,15.0,3.0,２ＬＤＫ,60.0,2021.0,43.0,ＳＲＣ,準工業,改装済み,1600.0
75,香櫨園,14.0,3.0,２ＬＤＫ,60.0,2021.0,49.0,ＲＣ,１種住居,改装済み,1600.0
76,香櫨園,16.0,4.0,３ＬＤＫ,85.0,2021.0,16.0,ＲＣ,準工業,未改装,3700.0
80,香櫨園,16.0,4.0,３ＬＤＫ,60.0,2020.0,42.0,ＳＲＣ,準工業,改装済み,1700.0
81,香櫨園,13.0,4.0,３ＬＤＫ,130.0,2020.0,28.0,ＲＣ,１種住居,改装済み,3100.0
83,香櫨園,14.0,3.0,２ＬＤＫ,60.0,2020.0,48.0,ＲＣ,１種住居,改装済み,1800.0
84,香櫨園,16.0,4.0,３ＬＤＫ,60.0,2020.0,48.0,ＲＣ,１種住居,改装済み,1000.0
85,香櫨園,15.0,3.0,２ＬＤＫ,60.0,2020.0,42.0,ＳＲＣ,準工業,改装済み,1800.0
86,西宮(阪神),18.0,4.0,３ＬＤＫ,90.0,2024.0,22.0,ＲＣ,準工業,改装済み,3900.0
87,西宮(阪神),15.0,3.0,２ＬＤＫ,60.0,2022.0,44.0,ＳＲＣ,準工業,未改装,1000.0
88,甲陽園,20.0,3.0,２ＬＤＫ,65.0,2025.0,26.0,ＲＣ,１中住専,未改装,2300.0
89,甲陽園,21.0,4.0,３ＬＤＫ,70.0,2025.0,30.0,ＲＣ,１中住専,改装済み,3000.0
90,甲陽園,24.0,4.0,３ＬＤＫ,65.0,2025.0,45.0,ＲＣ,１中住専,未改装,1100.0
91,甲陽園,24.0,4.0,２ＬＤＫ＋Ｓ,70.0,2024.0,44.0,ＲＣ,１中住専,未改装,1200.0
92,甲陽園,24.0,4.0,３ＬＤＫ,65.0,2023.0,43.0,ＲＣ,１中住専,未改装,1200.0
93,甲陽園,20.0,5.0,４ＬＤＫ,85.0,2023.0,12.0,ＲＣ,１中住専,未改装,3200.0
94,甲陽園,20.0,4.0,３ＬＤＫ,75.0,2023.0,12.0,ＲＣ,１中住専,未改装,2700.0
95,甲陽園,20.0,3.0,２ＬＤＫ,70.0,2023.0,24.0,ＲＣ,１中住専,未改装,1700.0
96,甲陽園,20.0,4.0,３ＬＤＫ,65.0,2023.0,37.0,ＲＣ,１中住専,未改装,1100.0
97,甲陽園,20.0,4.0,３ＬＤＫ,70.0,2022.0,23.0,ＲＣ,１中住専,改装済み,2500.0
98,甲陽園,24.0,4.0,３ＬＤＫ,85.0,2022.0,42.0,ＲＣ,１中住専,未改装,3300.0
100,甲陽園,23.0,4.0,３ＬＤＫ,85.0,2021.0,18.0,ＲＣ,１中住専,未改装,3500.0
102,甲陽園,23.0,4.0,３ＬＤＫ,70.0,2021.0,10.0,ＲＣ,１中住専,未改装,2800.0
105,甲陽園,24.0,3.0,２ＬＤＫ,65.0,2020.0,40.0,ＲＣ,１中住専,未改装,1200.0
106,甲陽園,24.0,4.0,３ＬＤＫ,65.0,2020.0,40.0,ＲＣ,１中住専,改装済み,1700.0
108,甲陽園,24.0,4.0,３ＬＤＫ,70.0,2020.0,40.0,ＲＣ,１中住専,改装済み,2100.0
109,甲陽園,20.0,4.0,３ＬＤＫ,75.0,2020.0,9.0,ＲＣ,１中住専,未改装,2800.0
110,甲陽園,24.0,3.0,２ＬＤＫ,65.0,2020.0,40.0,ＲＣ,１中住専,未改装,1100.0
111,甲東園,19.0,4.0,３ＬＤＫ,70.0,2024.0,26.0,ＲＣ,１中住専,未改装,3000.0
112,甲東園,19.0,4.0,３ＬＤＫ,65.0,2023.0,46.0,ＲＣ,１中住専,未改装,600.0
113,甲東園,19.0,4.0,３ＬＤＫ,70.0,2023.0,8.0,ＲＣ,１中住専,未改装,3200.0
115,甲東園,19.0,4.0,３ＬＤＫ,70.0,2022.0,24.0,ＲＣ,１中住専,改装済み,2700.0
116,仁川,23.0,4.0,３ＬＤＫ,70.0,2022.0,7.0,ＲＣ,１中住専,未改装,2700.0
118,仁川,23.0,3.0,２ＬＤＫ,80.0,2020.0,19.0,ＲＣ,１中住専,未改装,2400.0
119,久寿川,5.0,5.0,４ＬＤＫ,80.0,2022.0,37.0,ＳＲＣ、ＲＣ,近隣商業,改装済み,2600.0
121,久寿川,13.0,4.0,３ＬＤＫ,60.0,2025.0,28.0,ＳＲＣ,１種住居,改装済み,3100.0
122,久寿川,12.0,4.0,３ＬＤＫ,60.0,2024.0,28.0,ＳＲＣ,１種住居,未改装,2700.0
127,久寿川,13.0,4.0,３ＬＤＫ,60.0,2023.0,25.0,ＳＲＣ,１種住居,未改装,2200.0
128,久寿川,13.0,4.0,３ＬＤＫ,60.0,2023.0,25.0,ＳＲＣ,１種住居,改装済み,3000.0
131,久寿川,10.0,4.0,３ＬＤＫ,65.0,2022.0,26.0,ＲＣ,１種住居,改装済み,3000.0
132,久寿川,12.0,5.0,４ＬＤＫ,75.0,2021.0,25.0,ＳＲＣ,１種住居,未改装,2900.0
133,久寿川,13.0,4.0,３ＬＤＫ,60.0,2021.0,23.0,ＳＲＣ,１種住居,改装済み,2900.0
134,久寿川,12.0,4.0,３ＬＤＫ,65.0,2021.0,25.0,ＳＲＣ,１種住居,未改装,2100.0
